Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Claro,"Antioquia, Colombia",,Jan 2018,1695,813,N/A,cellular,mean,813,72,18047,7090,18.05,7.09
Claro,"Arauca, Colombia",,Jan 2018,50,16,N/A,cellular,mean,16,77,12015,5813,12.02,5.81
Claro,"Atlantico, Colombia",,Jan 2018,713,243,N/A,cellular,mean,243,71,22949,9571,22.95,9.57
Claro,"Bogota, Colombia",,Jan 2018,5231,2411,N/A,cellular,mean,2411,69,17561,8170,17.56,8.17
Claro,"Bolivar, Colombia",,Jan 2018,362,184,N/A,cellular,mean,184,87,19111,8045,19.11,8.05
Claro,"Boyaca, Colombia",,Jan 2018,322,166,N/A,cellular,mean,166,72,15416,6969,15.42,6.97
Claro,"Caldas, Colombia",,Jan 2018,321,121,N/A,cellular,mean,121,79,16170,6938,16.17,6.94
Claro,"Caquetá, Colombia",,Jan 2018,54,31,N/A,cellular,mean,31,74,13116,8143,13.12,8.14
Claro,"Casanare, Colombia",,Jan 2018,93,49,N/A,cellular,mean,49,67,18150,8103,18.15,8.1
Claro,"Cauca Department, Colombia",,Jan 2018,107,68,N/A,cellular,mean,68,77,13894,5829,13.89,5.83
Claro,"Cesar, Colombia",,Jan 2018,105,60,N/A,cellular,mean,60,89,16825,6297,16.83,6.3
Claro,"Choco, Colombia",,Jan 2018,60,35,N/A,cellular,mean,35,94,8450,6678,8.45,6.68
Claro,"Cordoba, Colombia",,Jan 2018,223,98,N/A,cellular,mean,98,95,20885,8711,20.89,8.71
Claro,"Cundinamarca, Colombia",,Jan 2018,999,494,N/A,cellular,mean,494,69,13657,5519,13.66,5.52
Claro,"Guainia, Colombia",,Jan 2018,3,1,N/A,cellular,mean,1,664,329,100,0.33,0.1
Claro,"Huila, Colombia",,Jan 2018,134,87,N/A,cellular,mean,87,77,16705,6051,16.71,6.05
Claro,"La Guajira, Colombia",,Jan 2018,134,28,N/A,cellular,mean,28,102,9808,2872,9.81,2.87
Claro,"Magdalena, Colombia",,Jan 2018,194,85,N/A,cellular,mean,85,92,15400,5961,15.4,5.96
Claro,"Meta, Colombia",,Jan 2018,264,137,N/A,cellular,mean,137,97,17700,7877,17.7,7.88
Claro,"Narino, Colombia",,Jan 2018,154,75,N/A,cellular,mean,75,104,13247,7631,13.25,7.63
Claro,"North Santander, Colombia",,Jan 2018,189,94,N/A,cellular,mean,94,81,19132,7832,19.13,7.83
Claro,"Putumayo, Colombia",,Jan 2018,44,25,N/A,cellular,mean,25,89,11920,7330,11.92,7.33
Claro,"Quindio, Colombia",,Jan 2018,174,85,N/A,cellular,mean,85,84,12015,5530,12.02,5.53
Claro,"Risaralda, Colombia",,Jan 2018,264,117,N/A,cellular,mean,117,82,14204,5878,14.2,5.88
Claro,"San Andrés and Providencia, Colombia",,Jan 2018,47,25,N/A,cellular,mean,25,168,7286,7748,7.29,7.75
Claro,"Santander Department, Colombia",,Jan 2018,346,191,N/A,cellular,mean,191,86,17106,6090,17.11,6.09
Claro,"Sucre, Colombia",,Jan 2018,103,56,N/A,cellular,mean,56,83,14799,5690,14.8,5.69
Claro,"Tolima, Colombia",,Jan 2018,198,108,N/A,cellular,mean,108,77,13756,6055,13.76,6.06
Claro,"Valle del Cauca, Colombia",,Jan 2018,941,501,N/A,cellular,mean,501,76,15181,5923,15.18,5.92
Claro,"Vichada, Colombia",,Jan 2018,6,1,N/A,cellular,mean,1,93,1904,646,1.9,0.65
Claro,"Guaviare, Colombia",,Jan 2018,7,3,N/A,cellular,mean,3,52,11858,6521,11.86,6.52
Tigo,"Antioquia, Colombia",,Jan 2018,2920,1034,N/A,cellular,mean,1034,42,15435,6933,15.44,6.93
Tigo,"Atlantico, Colombia",,Jan 2018,993,366,N/A,cellular,mean,366,40,18178,9877,18.18,9.88
Tigo,"Bogota, Colombia",,Jan 2018,4964,1638,N/A,cellular,mean,1638,42,16093,10469,16.09,10.47
Tigo,"Bolivar, Colombia",,Jan 2018,531,178,N/A,cellular,mean,178,48,13408,8770,13.41,8.77
Tigo,"Boyaca, Colombia",,Jan 2018,316,75,N/A,cellular,mean,75,94,11724,5907,11.72,5.91
Tigo,"Caldas, Colombia",,Jan 2018,292,90,N/A,cellular,mean,90,41,18210,8918,18.21,8.92
Tigo,"Caquetá, Colombia",,Jan 2018,2,2,N/A,cellular,mean,2,34,12031,7325,12.03,7.33
Tigo,"Casanare, Colombia",,Jan 2018,112,15,N/A,cellular,mean,15,80,16580,6806,16.58,6.81
Tigo,"Cauca Department, Colombia",,Jan 2018,217,53,N/A,cellular,mean,53,65,12681,8740,12.68,8.74
Tigo,"Cesar, Colombia",,Jan 2018,139,58,N/A,cellular,mean,58,68,9011,7438,9.01,7.44
Tigo,"Choco, Colombia",,Jan 2018,30,4,N/A,cellular,mean,4,104,2669,1763,2.67,1.76
Tigo,"Cordoba, Colombia",,Jan 2018,267,77,N/A,cellular,mean,77,53,10086,8568,10.09,8.57
Tigo,"Cundinamarca, Colombia",,Jan 2018,664,282,N/A,cellular,mean,282,57,10698,5950,10.7,5.95
Tigo,"Huila, Colombia",,Jan 2018,114,34,N/A,cellular,mean,34,54,5610,8632,5.61,8.63
Tigo,"La Guajira, Colombia",,Jan 2018,271,49,N/A,cellular,mean,49,106,3838,4259,3.84,4.26
Tigo,"Magdalena, Colombia",,Jan 2018,267,103,N/A,cellular,mean,103,73,10444,7611,10.44,7.61
Tigo,"Meta, Colombia",,Jan 2018,158,54,N/A,cellular,mean,54,57,14152,7034,14.15,7.03
Tigo,"Narino, Colombia",,Jan 2018,94,42,N/A,cellular,mean,42,74,21644,12914,21.64,12.91
Tigo,"North Santander, Colombia",,Jan 2018,215,72,N/A,cellular,mean,72,56,17239,8803,17.24,8.8
Tigo,"Putumayo, Colombia",,Jan 2018,1,1,N/A,cellular,mean,1,61,2085,725,2.09,0.73
Tigo,"Quindio, Colombia",,Jan 2018,521,67,N/A,cellular,mean,67,46,21254,9189,21.25,9.19
Tigo,"Risaralda, Colombia",,Jan 2018,276,84,N/A,cellular,mean,84,43,14027,8663,14.03,8.66
Tigo,"San Andrés and Providencia, Colombia",,Jan 2018,186,35,N/A,cellular,mean,35,349,708,1587,0.71,1.59
Tigo,"Santander Department, Colombia",,Jan 2018,850,241,N/A,cellular,mean,241,55,15088,9742,15.09,9.74
Tigo,"Sucre, Colombia",,Jan 2018,227,65,N/A,cellular,mean,65,122,6314,4617,6.31,4.62
Tigo,"Tolima, Colombia",,Jan 2018,203,72,N/A,cellular,mean,72,47,12199,6683,12.2,6.68
Tigo,"Valle del Cauca, Colombia",,Jan 2018,1538,531,N/A,cellular,mean,531,54,24495,14628,24.5,14.63
Claro,"Antioquia, Colombia",,feb-18,1617,764,N/A,cellular,mean,764,73,16814,7620,16.81,7.62
Claro,"Arauca, Colombia",,feb-18,40,21,N/A,cellular,mean,21,96,14882,10256,14.88,10.26
Claro,"Atlantico, Colombia",,feb-18,977,232,N/A,cellular,mean,232,68,20428,9569,20.43,9.57
Claro,"Bogota, Colombia",,feb-18,5582,2526,N/A,cellular,mean,2526,66,15833,8651,15.83,8.65
Claro,"Bolivar, Colombia",,feb-18,344,155,N/A,cellular,mean,155,86,18384,7669,18.38,7.67
Claro,"Boyaca, Colombia",,feb-18,254,142,N/A,cellular,mean,142,73,13980,7087,13.98,7.09
Claro,"Caldas, Colombia",,feb-18,212,106,N/A,cellular,mean,106,74,18194,8582,18.19,8.58
Claro,"Caquetá, Colombia",,feb-18,94,53,N/A,cellular,mean,53,90,10261,7219,10.26,7.22
Claro,"Casanare, Colombia",,feb-18,126,51,N/A,cellular,mean,51,66,15522,8451,15.52,8.45
Claro,"Cauca Department, Colombia",,feb-18,137,58,N/A,cellular,mean,58,70,17233,6191,17.23,6.19
Claro,"Cesar, Colombia",,feb-18,130,51,N/A,cellular,mean,51,97,15979,7430,15.98,7.43
Claro,"Choco, Colombia",,feb-18,47,30,N/A,cellular,mean,30,94,10009,8953,10.01,8.95
Claro,"Cordoba, Colombia",,feb-18,158,72,N/A,cellular,mean,72,93,17042,8185,17.04,8.19
Claro,"Cundinamarca, Colombia",,feb-18,959,442,N/A,cellular,mean,442,70,12313,5976,12.31,5.98
